Name ,Data type ,PK ,FK ,UQ ,Not null ,Default value ,Description 
use_supply_code ,int2 ,,,,,,"Indicates the dam is used for water supply purposes, and the extent to which water supply is a planned use (i.e., main use, major use, or secondary use). "
use_floodcontrol_code ,int2 ,,,,,,"Indicates the dam is used for flood control purposes, and the extent to which flood control is a planned use (i.e., main use, major use, or secondary use). "
use_recreaction_code ,int2 ,,,,,,"Indicates the dam is used for recreation purposes, and the extent to which recreation is a planned use (i.e., main use, major use, or secondary use). "
use_navigation_code ,int2 ,,,,,,"Indicates the dam is used for navigation, and the extent to which navigation is a planned use (i.e., main use, major use, or secondary use). "
use_fish_code ,int2 ,,,,,,"Indicates the dam is used for fisheries purposes, and the extent to which fisheries are a planned use (i.e., main use, major use, or secondary use). "
use_pollution_code ,int2 ,,,,,,"Indicates the dam is used for pollution control purposes, and the extent to which pollution control is a planned use (i.e., main use, major use, or secondary use). "
use_invasivespecies_code ,int2 ,,,,,,"Indicates the dam is used in control invasive species and the extent to which invasive species control is a planned use (i.e., Main use, major use, or secondary use). "
use_other_code ,int2 ,,,,,,"Indicates the dam is used for “other” purposes, and the extent to which it is a planned use (i.e., Main use, major use, or secondary use). "
lake_control_code ,int2 ,,,,,,"Indicates whether a reservoir has been built at the location of an existing natural lake using a lake control structure; currently this column only contains limited entries; “Yes” = lake control structure raises original lake level; “Enlarged” = lake control structure enlarged the original lake surface area; “Maybe” = not sure, but data seems to indicate a lake control structure. "
construction_year ,numeric ,,,,,,Year in which the dam was built (not further specified: year of construction; year of completion; year of commissioning; year of refurbishment/update; etc.) 
assess_schedule ,varchar(100) ,,,,,,Frequency at which the dam structure is assessed by ownership party or regulatory body. 
maintenance_last ,date ,,,,,,Date of last maintenance or renovation work performed on the barrier. 
maintenance_next ,date ,,,,,,Date of the next scheduled maintenance or renovation work performed on the barrier. 
expected_life ,int2 ,,,,,,Number of years the dam structure is expected to last. 
condition_code ,int2 ,,✓ ,,,,Code referencing the physical condition of the dam. 
function_code ,int2 ,,✓ ,,,,Code referencing the function of the dam. 
construction_type_code ,int2 ,,✓ ,,,,Code referencing the dam structure type based on construction material/design. 
height_m ,float4 ,,,,,,"Reported height of the dam in meters. Depending on the data source this could variably be height of dam wall, crest height, or head height. "
length_m ,float4 ,,,,,,Length of the crest of the dam from one bank (or abutment) to the other in meters. 
size_class_code ,int2 ,,✓ ,,,,The size classification of the dam based on the height of the dam in meters (dam_hgt_m). 
spillway_capacity ,float8 ,,,,,,The designed capacity of the spillway in m3 per second. 
spillway_type_code ,int2 ,,✓ ,,,,Code referencing spillway type. 
reservoir_present ,bool ,,,,,,Indicates if a reservoir is present due to the creation of the dam. 
reservoir_area_sqkm ,float4 ,,,,,,Representative surface area of reservoir in square kilometers. 
reservoir_depth_m ,float4 ,,,,,,Average depth of reservoir in meters. 
storage_capacity_mcm ,float8 ,,,,,,Storage capacity of reservoir in million cubic meters. 
avg_rate_of_discharge_ls ,float8 ,,,,,,Average rate of discharge at dam location in liters per second. 
degree_of_regulation_pc ,float4 ,,,,,,"Degree of Regulation (DOR) in percent; equivalent to “residence time” of water in the reservoir; calculated as ratio between storage capacity (‘Cap_mcm’) and total annual flow (derived from ‘Dis_avg_ls’); values capped at 10,000 indicate exceedingly high values, which may be due to inconsistencies in the data and/or incorrect allocation to the river network and the associated discharges. "
provincial_flow_req ,float8 ,,,,,,Legislated flow requirements for the dam structure in cubic meters per second (m3/s) regulated by the provincial licensing body. 
federal_flow_req ,float8 ,,,,,,Minimum flow recommendations for the dam structure in cubic meters per second (m3/s). Based on assessments by Fisheries and Oceans Canada for the protection of fish and fish habitat. 
catchment_area_skm ,float8 ,,,,,,Area of upstream catchment draining into the reservoir in square kilometers. The area of upstream catchment is defined by “Elementary Catchment” units in the National Hydrography Network. 
upstream_linear_km ,float8 ,,,,,,The amount of unobstructed linear kilometers upstream of the barrier that would become available to aquatic species if the barrier were to be remediated.  
hydro_peaking_system ,bool ,,,,,,Indicates if the dam employs a hydro peaking system. 
generating_capacity_mwh ,float8 ,,,,,,The amount of electricity the hydroelectric facility can produce in megawatt hours. 
turbine_number ,int2 ,,,,,,The number of turbines in the dam structure. 
up_passage_type_code ,int2 ,,✓ ,,,,Code referencing the upstream fish passage measure type. 
down_passage_route_code ,int2 ,,✓ ,,,,Code referencing the downstream fish passage routes. 
passability_status_code ,int2 ,,✓ ,,,,Code referencing the degree to which the structure acts as a barrier to fish in the upstream direction. 
passability_status_note ,varchar(256) ,,,,,,"Unstructured notes to provide context for the assigned passability status code (e.g., species restrictions). "
last_modified ,date ,,,,,,"Most recent date of the data source used to create, revise or confirm the dam record. "
turbine_type_code ,int2 ,,✓ ,,,,Code referencing turbine type. 
data_source_id ,varchar(256) ,,,,,,The unique id assigned to the dam record in the original data source. 
data_source ,varchar(256) ,,,,,,The original data source from which the dam record was obtained. 
comments ,text ,,,,,,Unstructured comments about the dam. 
complete_level_code ,int2 ,,✓ ,,,,Code referencing the level of information available for the barrier structure. 
original_point ,"geometry(POINT, 3395) ",,,,✓ ,,This column contains the original spatial representation of the dam feature. Only point features are supported. 
snapped_point ,"geometry(POINT, 3395) ",,,,✓ ,,This column contains the snapped spatial representation of the dam feature. Only point features are supported. 
